codigo,nombre,costo_neto,precio_venta,marca_fabricante
1516001,Set de base de válvula de exhal. y actuador lineal,0.00,,""
1516002,Set de actuador lineal,0.00,,""
1516003,Dispositivo para medir presión regulada,0.00,,""
1516004,Dispositivo p/atornillar tornillo 12 mm x 3mm,0.00,,""
1516005,Llave cónica p/montaje de comp. específ. Magnamed,0.00,,""
1516006,Dispositivo p/atornillar tornillo 16 mm x 2 mm,0.00,,""
1516007,Globo de prueba adulto 1000 ml - 22mm,0.00,,""
1516008,Globo de prueba pediátrico 500 ml - 22 mm,0.00,,""
1516009,Simulador de pulmón neonatal 40 ml c/conector 15F,0.00,,""
1516010,BRAZO ARTICULADO MAGNAMED,0.00,,""
1516011,"CIRCUITO PACIENTE MAGNAMED 22mm 0,8m",0.00,,""
1516012,"CIRCUITO PACIENTE MAGNAMED 22mm 0,6m",0.00,,""
1516013,DIFRAGMA MAGNAMED,0.00,,""
1516014,FILTRO EXTERNO MAGNAMED,0.00,,""
1516015,TRAMPA DE AGUA MAGNAMED,0.00,,""
1516016,MANGUERA DE O2 MAGNAMED,0.00,,""
1516017,TS PNEUMATIC BLOCK FOR OXYMAG,0.00,,""
1517002,filtro konsung,0.00,,""
1517003,RODAMIENTO BIELA LONGFIAN JAY-5/JAY-10,0.00,,""
1517004,RODAMIENTO BIELA LONGFIAN JAY-5Q,0.00,,""
1518001,LABIOS PARA COMPRESOR LONGFIAN JAY-5/JAY-10,0.00,,""
1518002,LABIOS PARA COMPRESOR LONGFIAN JAY-5Q,0.00,,""
1519001,ELECTROVÁLVULA LONGFIAN JAY-5/JAY-10,0.00,,""
1519002,VÁLVULLA INTEGRADA MAGNAMED,0.00,,""
1519003,PRODUCT MANIFOLD KIT Service Part G4,0.00,,""
1519004,VÁLVULA PILOT EVERFLO,0.00,,""
1519005,FEED WASTE MANIFOLD Service Part G4,0.00,,""
1519006,ELECTROVÁLVULA LONGFIAN JAY-5Q,0.00,,""
1519007,Solenoide AirSep NewLife,0.00,,""
1519008,KIT 30LPM PROPORTIONAL VALVE,0.00,,""
1519009,KIT 200LPM PROPORTIONAL VALVE,0.00,,""
1520001,"Transformador LONGFIAN 220V - 15V 0,2A",0.00,,""
1520002,"CONVERTIDOR 12V-19V (1,3A 25W)",0.00,,""
1521001,CAPACITORES 8uf,0.00,,""
1521002,CAPACITORES 10uf,0.00,,""
1522001,FLOWMETER LONGFIAN JAY-5,0.00,,""
1522002,FLOWMETER LONGFIAN JAY-10,0.00,,""
1522003,FLOWMETER LONGFIAN JAY-5Q,0.00,,""
1522004,CAUDALIMETRO ALTO FLUJO,0.00,,""
1522005,KIT MEDIDOR DE FIo2,0.00,,""
1601002,Instalación y config. de central de monitoreo,0.00,,""
AE-003,Bolso de traslado p/aspirador,23134.50,,""
AR-010,ARANDELA DE FIBRA 3 MM ALA ANCHA,0.00,,""
AR-011,ARANDELA DE FIBRA 6 MM ALA ANCHA,0.00,,""
AR-012,"ARANDELA PLANA 3/32""",0.00,,""
AR-013,ARANDELA PLANA 3 x 10mm,0.00,,""
BA401,Inogen G4 AC Power Supply,0.00,,""
CE-002,CIRC.INTEGRADO LM 358,0.00,,""
