brand_norm,cluster_id,canonical_model_norm,members,total
MEDIX,4,MEDILED,MEDILED,11
MEDIX,5,AITECS SP-12S,AITECS SP-12S,9
MEDIX,6,RAZEL,RAZEL,5
MEDIX,7,LED,LED,4
MEDIX,8,,,4
MEDIX,9,AITEC,AITEC,3
MEDIX,10,TUBOS,TUBOS,3
MEDIX,11,AITECS,AITECS,3
MEDIX,12,OXI-3 PLUS,OXI-3 PLUS,3
MEDIX,13,AITEK,AITEK,1
MEDIX,14,TUBO,TUBO,1
MEDIX,15,401,401,1
MEDIX,16,LA-101,LA-101,1
MEDIX,17,307,307,1
MEDIX,18,NATALCARE LX,NATALCARE LX,1
MEDIX,19,NATAL CARE,NATAL CARE,1
MEDIX AITECS,1,PRO125,PRO125,1
MEK,1,MP110,MP110,1
MERCURY,1,,,1
MERCURY,2,5L,5L,1
MG 2751,1,RESPIRONICS,RESPIRONICS,1
MILLENIUM,1,,,1
MINDRAY,1,US-800,US-800,2
MINDRAY,2,C1A,C1A,1
MONITOR,1,ADULTO,ADULTO,7
MOVI-VAC,1,A-550,A-550,1033
MOVI-VAC,2,A-600,A-600,158
MOVI-VAC,3,A-220,A-220,21
MOVI-VAC,4,550,550,19
MOVI-VAC,5,,,14
MOVI-VAC,6,TRONIC,TRONIC,7
MOVI-VAC,7,A-500,A-500,6
MOVI-VAC,8,A-220V,A-220V,3
MOVI-VAC,9,C-500A,C-500A,1
MOVI-VAC,10,MOVI-VAC,MOVI-VAC,1
MOVI-VAC,11,C-550,C-550,1
MOVI-VAC,12,6000,6000,1
MOVI-VAC,13,B4-0705,B4-0705,1
MOVI-VAC,14,A1-0122,A1-0122,1
MOVI-VAC,15,A-360,A-360,1
MRL,1,PIC,PIC,2
MVP-10,1,,,1
NATAL CARE,1,PC-307,PC-307,1
NATALCARE,1,ST-LX PC-307,ST-LX PC-307,2
NELLCOR,1,N-560,N-560,281
NELLCOR,2,N-595,N-595,146
NELLCOR,3,N-395,N-395,83
NELLCOR,4,N-600,N-600,44
NELLCOR,5,BEDSIDE,BEDSIDE,39
NELLCOR,6,Y,Y,37
NELLCOR,7,560,560,36
NELLCOR,8,N-600X,N-600X,32
NELLCOR,9,N-550,N-550,22
