brand_norm,model_norm,cluster_id,canonical_model_norm
RESPIRONICS,REMSTAR SERIE M,22,REMSTAR SERIE M
RESPIRONICS,AUTO SV,23,AUTO SV
RESPIRONICS,SERIE M PLUS,24,SERIE M PLUS
RESPIRONICS,PLUS SERIE M,25,PLUS SERIE M
RESPIRONICS,VIRTUOSO,26,VIRTUOSO
RESPIRONICS,BI-PAP PRO,27,BI-PAP PRO
RESPIRONICS,EMERSON,28,EMERSON
RESPIRONICS,RESMED,29,RESMED
RESPIRONICS,425 ST,30,425 ST
RESPIRONICS,M SERIES,31,M SERIES
RESPIRONICS,A-FLEX,32,A-FLEX
RESPIRONICS,C/C-FLEX,33,C/C-FLEX
RESPIRONICS,BPAP ST,34,BPAP ST
RESPIRONICS,PHILIPS,35,PHILIPS
RESPIRONICS,PLUG,36,PLUG
RESPIRONICS,VIRTUOSO LX,37,VIRTUOSO LX
RESPIRONICS,DORMA,38,DORMA
RESPIRONICS,AVAPS,39,AVAPS
RESPIRONICS,NICO2,40,NICO2
RESPIRONICS,SLEEP,41,SLEEP
RESPIRONICS,RESMART SERIE M,42,RESMART SERIE M
RESPIRONICS,LA6515,43,LA6515
RESPIRONICS,450 P,44,450 P
RESPIRONICS,EVER GO,45,EVER GO
RESPIRONICS,REMSTAR 150 P,46,REMSTAR 150 P
RESPIRONICS,251P,47,251P
RESPIRONICS,LA-651HS,48,LA-651HS
RESPIRONICS,SOLO LX,49,SOLO LX
RESPIRONICS,G51P,50,G51P
REUSABLE,Y,1,Y
RHOMICROM,,1,
RHOMICRON,,1,
RHOMICRON,748,2,748
ROSCH,M-15,1,M-15
ROSCH,,2,
S9,,1,
SAMARITAN,ST-1000 SET,1,ST-1000 SET
SAMRONIC,ST-6000,1,ST-6000
SAMTRONIC,ST-1000 SET,1,ST-1000 SET
SAMTRONIC,ST-1000,2,ST-1000
SAMTRONIC,ST-6000,3,ST-6000
SAMTRONIC,ST-550 T2,4,ST-550 T2
SAMTRONIC,ST-7000,5,ST-7000
SAMTRONIC,ST MIL SET,6,ST MIL SET
SAMTRONIC,,7,
